doi,registry,title,journal,year,cited_in
10.1038/s41467-022-30513-2,crossref,Proteome allocations change linearly with the specific growth rate of Saccharomyces cerevisiae under glucose limitation,Nature Communications,2022,docs/research/EXTERNAL_DATA.md:433;docs/research/EXTERNAL_DATA.md:45
10.1038/s41467-022-30689-7,crossref,Improving recombinant protein production by yeast through genome-scale modeling using proteome constraints,Nature Communications,2022,docs/research/HYBRID_METHODS.md:430
10.1038/s41467-022-34133-8,crossref,Termination of the unfolded protein response is guided by ER stress-induced HAC1 mRNA nuclear retention,Nature Communications,2022,docs/research/UPR_ANCHOR.md:642
10.1038/s41467-023-40380-0,crossref,A neural-mechanistic hybrid approach improving the predictive power of genome-scale metabolic models,Nature Communications,2023,docs/research/HYBRID_METHODS.md:332
10.1038/s41467-024-54298-8,crossref,Yeast metabolism adaptation for efficient terpenoids synthesis via isopentenol utilization,Nature Communications,2024,docs/research/CALIBRATION_DATA.md:375
10.1038/s41540-019-0103-6,crossref,An unconventional uptake rate objective function approach enhances applicability of genome-scale models for mammalian cells,npj Systems Biology and Applications,2019,docs/research/HYBRID_METHODS.md:293;docs/research/HYBRID_METHODS.md:63
10.1038/s41540-026-00700-8,crossref,CellTarget: a convex optimisation approach to discover cellular objectives,npj Systems Biology and Applications,2026,docs/research/HYBRID_METHODS.md:144
10.1038/s41592-019-0352-8,crossref,FPbase: a community-editable fluorescent protein database,Nature Methods,2019,docs/research/GENERALIZATION.md:211;docs/research/GENERALIZATION.md:725
10.1038/s41598-023-38383-4,crossref,Reverse transcription-quantitative PCR (RT-qPCR) without the need for prior removal of DNA,Scientific Reports,2023,docs/research/G4_STATISTICS.md:112;docs/research/UPR_ANCHOR.md:740
10.1038/s41598-026-45956-6,crossref,Sudanese pearl millet (Pennisetum glaucum (L.) R. Br.) germplasm reveals genetic potential for carotenoid improvement and provitamin a biofortification,Scientific Reports,2026,docs/PRODUCT_ARCHITECTURE.md:294;docs/research/PRODUCT_OBSERVATION.md:122;src/ystwin/observation.py:229
10.1038/s42003-020-01127-5,crossref,Robust estimation of bacterial cell count from optical density,Communications Biology,2020,docs/research/EXTERNAL_DATA.md:292;docs/research/GENERALIZATION.md:351;docs/research/GENERALIZATION.md:706;docs/research/GENERATOR_REALISM.md:243
10.1038/s43588-021-00069-0,crossref,A probabilistic graphical model foundation for enabling predictive digital twins at scale,Nature Computational Science,2021,docs/CONTRACT.md:12;docs/research/PREDICTION.md:1303
10.1038/srep30950,crossref,Systems Level Analysis of the Yeast Osmo-Stat,Scientific Reports,2016,src/ystwin/mech/cell_wall_talemi2016.py:233;src/ystwin/mech/cell_wall_talemi2016.py:5;src/ystwin/mech/signalling.py:158
10.1038/srep38828,crossref,General calibration of microbial growth in microplate readers,Scientific Reports,2016,docs/research/EXTERNAL_DATA.md:317;docs/research/GENERATOR_REALISM.md:167
10.1046/j.1432-1327.2000.01527.x,crossref,"Can yeast glycolysis be understood in terms of
                    <i>in vitro</i>
                    kinetics of the constituent enzymes? Testing biochemistry",European Journal of Biochemistry,2000,src/ystwin/mech/atp_teusink2000.py:203;src/ystwin/mech/atp_teusink2000.py:5;src/ystwin/mech/signalling.py:125
10.1073/pnas.0506448103,crossref,Generating disulfides enzymatically: Reaction products and electron acceptors of the endoplasmic reticulum thiol oxidase Ero1p,Proceedings of the National Academy of Sciences,2006,src/ystwin/fba/insulin.py:419
10.1073/pnas.1005139107,crossref,"Probabilistic integrative modeling of genome-scale metabolic and regulatory networks in
                    <i>Escherichia coli</i>
                    and
                    <i>Mycobacterium tuberculosis</i>",Proceedings of the National Academy of Sciences,2010,docs/research/HYBRID_METHODS.md:98
10.1073/pnas.1308265110,crossref,A chemostat array enables the spatio-temporal analysis of the yeast proteome,Proceedings of the National Academy of Sciences,2013,docs/research/GENERALIZATION.md:400;docs/research/GENERALIZATION.md:731
10.1073/pnas.152046799,crossref,Assigning numbers to the arrows: Parameterizing a gene regulation network by using accurate expression kinetics,Proceedings of the National Academy of Sciences,2002,docs/research/EXTERNAL_DATA.md:263
10.1073/pnas.1716659115,crossref,Distributed and dynamic intracellular organization of extracellular information,Proceedings of the National Academy of Sciences,2018,docs/research/EXTERNAL_DATA.md:401
10.1073/pnas.1912789117,crossref,The frontier of simulation-based inference,Proceedings of the National Academy of Sciences,2020,docs/research/CIRCULARITY.md:177
10.1073/pnas.2013836118,crossref,Emergence of diauxie as an optimal growth strategy under resource allocation constraints in cellular metabolism,Proceedings of the National Academy of Sciences,2021,docs/research/HYBRID_METHODS.md:377
10.1073/pnas.2403033121,crossref,Comprehensive stable-isotope tracing of glucose and amino acids identifies metabolic by-products and their sources in CHO cell culture,Proceedings of the National Academy of Sciences,2024,docs/research/HYBRID_METHODS.md:254
10.1074/jbc.273.3.1802,crossref,Unconventional Splicing of HAC1/ERN4 mRNA Required for the Unfolded Protein Response,Journal of Biological Chemistry,1998,docs/research/UPR_ANCHOR.md:603
10.1074/jbc.273.35.22480,crossref,The H2O2 Stimulon in Saccharomyces cerevisiae,Journal of Biological Chemistry,1998,docs/research/UPR_ANCHOR.md:760
10.1074/jbc.274.23.16040,crossref,Yap1 and Skn7 Control Two Specialized Oxidative Stress Response Regulons in Yeast,Journal of Biological Chemistry,1999,docs/research/UPR_ANCHOR.md:758
10.1074/jbc.m102815200,crossref,Reducing the Environmental Sensitivity of Yellow Fluorescent Protein,Journal of Biological Chemistry,2001,docs/research/GENERATOR_REALISM.md:371
10.1083/jcb.201007077,crossref,Homeostatic adaptation to endoplasmic reticulum stress depends on Ire1 kinase activity,Journal of Cell Biology,2011,docs/research/UPR_ANCHOR.md:706
10.1091/mbc.11.12.4241,crossref,Genomic Expression Programs in the Response of Yeast Cells to Environmental Changes,Molecular Biology of the Cell,2000,docs/research/EXTERNAL_DATA.md:383;docs/research/UPR_ANCHOR.md:776
10.1091/mbc.12.2.323,crossref,Remodeling of Yeast Genome Expression in Response to Environmental Changes,Molecular Biology of the Cell,2001,docs/research/EXTERNAL_DATA.md:393
10.1091/mbc.8.10.1845,crossref,Endoplasmic Reticulum Stress-induced mRNA Splicing Permits Synthesis of Transcription Factor Hac1p/Ern4p That Activates the Unfolded Protein Response,Molecular Biology of the Cell,1997,docs/research/UPR_ANCHOR.md:597
10.1091/mbc.e07-08-0779,crossref,"Coordination of Growth Rate, Cell Cycle, Stress Response, and Metabolic Activity in Yeast",Molecular Biology of the Cell,2008,docs/research/UPR_ANCHOR.md:781
10.1091/mbc.e16-03-0187,crossref,Adaptation to different types of stress converge on mitochondrial metabolism,Molecular Biology of the Cell,2016,docs/research/HYBRID_METHODS.md:87
10.1091/mbc.e20-02-0117,crossref,Modeling and analysis of the macronutrient signaling network in budding yeast,Molecular Biology of the Cell,2021,src/ystwin/mech/contracts.py:254
10.1093/bioinformatics/btag230,crossref,dAMN: a genome-scale neural-mechanistic hybrid model to predict bacterial growth dynamics,Bioinformatics,2026,docs/research/HYBRID_METHODS.md:331
10.1093/clinchem/hvaa125,crossref,The Digital MIQE Guidelines Update: Minimum Information for Publication of Quantitative Digital PCR Experiments for 2020,Clinical Chemistry,2020,docs/research/G4_STATISTICS.md:107
10.1093/clinchem/hvab052,crossref,Efficiency Correction Is Required for Accurate Quantitative PCR Analysis and Reporting,Clinical Chemistry,2021,docs/research/G4_STATISTICS.md:123
10.1093/clinchem/hvaf043,crossref,MIQE 2.0: Revision of the Minimum Information for Publication of Quantitative Real-Time PCR Experiments Guidelines,Clinical Chemistry,2025,docs/research/G4_STATISTICS.md:106
10.1093/femsyr/foaa068,crossref,"Metabolic engineering of
                    <i>Saccharomyces cerevisiae</i>
                    for production of β-carotene from hydrophobic substrates",FEMS Yeast Research,2020,docs/research/CALIBRATION_DATA.md:372
10.1093/nar/gkaf088,crossref,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,Nucleic Acids Research,2025,docs/research/UPR_ANCHOR.md:647
10.1093/nar/gkp045,crossref,Amplification efficiency: linking baseline and bias in the analysis of quantitative PCR data,Nucleic Acids Research,2009,docs/research/G4_STATISTICS.md:124
10.1093/nar/gkr1259,crossref,Correction of RT–qPCR data for genomic DNA-derived signals with ValidPrime,Nucleic Acids Research,2012,docs/research/G4_STATISTICS.md:110;docs/research/UPR_ANCHOR.md:734
10.1093/nar/gkx1160,crossref,Nuclear mRNA degradation tunes the gain of the unfolded protein response in Saccharomyces cerevisiae,Nucleic Acids Research,2017,docs/research/UPR_ANCHOR.md:694
10.1093/synbio/ysac010,crossref,Multicolor plate reader fluorescence calibration,Synthetic Biology,2022,docs/research/EXTERNAL_DATA.md:308;docs/research/EXTERNAL_DATA.md:48
10.1099/00221287-136-3-395,crossref,Physiology of Saccharomyces Cerevisiae in Anaerobic Glucose-Limited Chemostat Culturesx,Journal of General Microbiology,1990,docs/research/GENERATOR_REALISM.md:313
10.1099/00221287-147-8-2037,crossref,Adr1 and Cat8 synergistically activate the glucose-regulated alcohol dehydrogenase gene ADH2 of the yeast Saccharomyces cerevisiae,Microbiology,2001,src/ystwin/generator/context.py:70
10.1101/2023.09.13.557646,crossref,COSMIC-dFBA: A novel multi-scale hybrid framework for bioprocess modeling,,2023,tests/test_cosmic_source_evidence.py:25
10.1109/9.1299,crossref,The interacting multiple model algorithm for systems with Markovian switching coefficients,IEEE Transactions on Automatic Control,1988,docs/research/HYBRID_METHODS.md:223
10.1109/jproc.2021.3058954,crossref,Toward Causal Representation Learning,Proceedings of the IEEE,2021,docs/research/IDENTIFIABILITY.md:132
10.1109/lsp.2004.830118,crossref,"Identifiability, Separability, and Uniqueness of Linear ICA Models",IEEE Signal Processing Letters,2004,docs/research/IDENTIFIABILITY.md:142
10.1109/tevc.2012.2185849,crossref,The Transferability Approach: Crossing the Reality Gap in Evolutionary Robotics,IEEE Transactions on Evolutionary Computation,2013,docs/research/CIRCULARITY.md:170
10.1109/tpami.2019.2952353,crossref,Assessing Transferability From Simulation to Reality for Reinforcement Learning,IEEE Transactions on Pattern Analysis and Machine Intelligence,2021,docs/research/CIRCULARITY.md:153
10.1111/1751-7915.13995,crossref,"Enzyme‐constrained models predict the dynamics of
                    <i>Saccharomyces cerevisiae</i>
                    growth in continuous, batch and fed‐batch bioreactors",Microbial Biotechnology,2022,docs/research/HYBRID_METHODS.md:330;docs/research/HYBRID_METHODS.md:387
10.1111/febs.12753,crossref,Glucose de‐repression by yeast <scp>AMP</scp>‐activated protein kinase <scp>SNF</scp>1 is controlled via at least two independent steps,The FEBS Journal,2014,src/ystwin/mech/contracts.py:293
10.1111/febs.16459,crossref,"pH dependencies of glycolytic enzymes of yeast under
                    <i>in vivo</i>
                    ‐like assay conditions",The FEBS Journal,2022,src/ystwin/mech/ph.py:369
10.1111/j.1365-2443.2005.00921.x,crossref,Yeast unfolded protein response pathway regulates expression of genes for anti‐oxidative stress and for cell surface proteins,Genes to Cells,2005,docs/research/UPR_ANCHOR.md:669
10.1111/j.1467-9868.2007.00587.x,crossref,"Probabilistic Forecasts, Calibration and Sharpness",Journal of the Royal Statistical Society Series B: Statistical Methodology,2007,docs/research/PREDICTION.md:1270
10.1111/j.1467-9868.2009.00736.x,crossref,Particle Markov Chain Monte Carlo Methods,Journal of the Royal Statistical Society Series B: Statistical Methodology,2010,docs/research/HYBRID_METHODS.md:225
10.1111/rssb.12356,crossref,Model Misspecification in Approximate Bayesian Computation: Consequences and Diagnostics,Journal of the Royal Statistical Society Series B: Statistical Methodology,2020,docs/research/CIRCULARITY.md:178;docs/research/CIRCULARITY.md:90
10.1126/science.1199784,crossref,Proteome Half-Life Dynamics in Living Human Cells,Science,2011,docs/research/GENERALIZATION.md:395;docs/research/GENERALIZATION.md:717
10.1126/science.1216882,crossref,Multidimensional Optimality of Microbial Metabolism,Science,2012,docs/research/HYBRID_METHODS.md:183
10.1126/science.aaf2786,crossref,Systems-level analysis of mechanisms regulating yeast metabolic flux,Science,2016,docs/research/EXTERNAL_DATA.md:439;docs/research/EXTERNAL_DATA.md:46
10.1128/aem.00301-21,crossref,"The Yeast eIF2 Kinase Gcn2 Facilitates H
                    <sub>2</sub>
                    O
                    <sub>2</sub>
                    -Mediated Feedback Inhibition of Both Protein Synthesis and Endoplasmic Reticulum Oxidative Folding during Recombinant Protein Production",Applied and Environmental Microbiology,2021,docs/research/UPR_ANCHOR.md:652;src/ystwin/citations.py:45
10.1128/aem.00429-09,crossref,"Quantitative Physiology of
                    <i>Saccharomyces cerevisiae</i>
                    at Near-Zero Specific Growth Rates",Applied and Environmental Microbiology,2009,docs/research/EXTERNAL_DATA.md:445
10.1128/aem.00644-25,crossref,"Potential of a constitutive-UPR and histone deacetylase A-deficient
            <i>Saccharomyces cerevisiae</i>
            strain for biomolecule production",Applied and Environmental Microbiology,2025,docs/research/UPR_ANCHOR.md:690
10.1128/aem.01861-10,crossref,"Temperature Adaptation Markedly Determines Evolution within the Genus
                    <i>Saccharomyces</i>",Applied and Environmental Microbiology,2011,docs/research/GENERATOR_REALISM.md:259
10.1128/aem.61.2.610-616.1995,crossref,Convenient Model To Describe the Combined Effects of Temperature and pH on Microbial Growth,Applied and Environmental Microbiology,1995,docs/research/GENERATOR_REALISM.md:390
10.1128/aem.64.11.4226-4233.1998,crossref,Effect of Specific Growth Rate on Fermentative Capacity of Baker’s Yeast,Applied and Environmental Microbiology,1998,docs/research/CALIBRATION_DATA.md:368;docs/research/CHEMOSTAT_REFERENCE.md:22
10.1128/aem.64.6.2240-2246.1998,crossref,New Unstable Variants of Green Fluorescent Protein for Studies of Transient Gene Expression in Bacteria,Applied and Environmental Microbiology,1998,docs/research/GENERALIZATION.md:457;docs/research/GENERALIZATION.md:728
10.1128/mcb.13.2.877-890.1993,crossref,"The Promoter Region of the Yeast
                    <i>KAR2</i>
                    (BiP) Gene Contains a Regulatory Domain that Responds to the Presence of Unfolded Proteins in the Endoplasmic Reticulum",Molecular and Cellular Biology,1993,docs/research/UPR_ANCHOR.md:676
10.1128/msystems.00260-21,crossref,"A Multiphase Multiobjective Dynamic Genome-Scale Model Shows Different Redox Balancing among Yeast Species of the
            <i>Saccharomyces</i>
            Genus in Fermentation",mSystems,2021,docs/research/HYBRID_METHODS.md:165
10.1128/msystems.01615-24,crossref,"An integrated multiphase dynamic genome-scale model explains batch fermentations led by species of the
                    <i>Saccharomyces</i>
                    genus",mSystems,2025,docs/research/HYBRID_METHODS.md:167
10.1145/2591796.2591875,crossref,Fourier PCA and robust tensor decomposition,Proceedings of the forty-sixth annual ACM symposium on Theory of computing,2014,docs/research/IDENTIFIABILITY.md:141
10.1175/mwr-d-14-00269.1,crossref,Variogram-Based Proper Scoring Rules for Probabilistic Forecasts of Multivariate Quantities*,Monthly Weather Review,2015,docs/CITATION_AUDIT.md:48;docs/research/PREDICTION.md:1263
10.1186/1471-2105-9-43,crossref,Predicting biological system objectives de novo from internal state measurements,BMC Bioinformatics,2008,docs/research/HYBRID_METHODS.md:142
10.1186/1471-2199-10-99,crossref,Validation of reference genes for quantitative expression analysis by real-time RT-PCR in Saccharomyces cerevisiae,BMC Molecular Biology,2009,docs/research/UPR_ANCHOR.md:713
10.1186/1471-2199-11-74,crossref,MIQE précis: Practical implementation of minimum standard guidelines for fluorescence-based quantitative real-time PCR experiments,BMC Molecular Biology,2010,docs/research/G4_STATISTICS.md:105
10.1186/1472-6750-14-11,crossref,Unmixing of fluorescence spectra to resolve quantitative time-series measurements of gene expression in plate readers,BMC Biotechnology,2014,docs/research/EXTERNAL_DATA.md:374
10.1186/1475-2859-11-117,crossref,Combined metabolic engineering of precursor and co-factor supply to increase α-santalene production by Saccharomyces cerevisiae,Microbial Cell Factories,2012,docs/research/CALIBRATION_DATA.md:363
10.1186/1752-0509-3-70,crossref,Deterministic mathematical models of the cAMP pathway in Saccharomyces cerevisiae,BMC Systems Biology,2009,src/ystwin/mech/carbon_williamson2009.py:197;src/ystwin/mech/carbon_williamson2009.py:5;src/ystwin/mech/signalling.py:94
10.1186/1752-0509-8-50,crossref,Non-stationary 13C metabolic flux analysis of Chinese hamster ovary cells in batch culture using extracellular labeling highlights metabolic reversibility and compartmentation,BMC Systems Biology,2014,docs/research/HYBRID_METHODS.md:291
10.1186/gb-2002-3-7-research0034,crossref,Accurate normalization of real-time quantitative RT-PCR data by geometric averaging of multiple internal control genes,Genome Biology,2002,docs/research/UPR_ANCHOR.md:721
